id	linkkey	aidkey	bidkey	decision
3988	99-71-28-004393_99-67-10-005860	99-71-28-004393	99-67-10-005860	confirm
3989	99-71-28-004481_99-69-01-001530	99-71-28-004481	99-69-01-001530	confirm
3990	99-71-28-004508_99-69-10-001617	99-71-28-004508	99-69-10-001617	confirm
3991	99-71-28-004559_99-69-28-004420	99-71-28-004559	99-69-28-004420	confirm
3992	99-71-28-004587_99-69-28-004439	99-71-28-004587	99-69-28-004439	confirm
3993	99-71-28-005221_99-69-28-005068	99-71-28-005221	99-69-28-005068	confirm
3994	99-71-28-005260_99-69-10-005867	99-71-28-005260	99-69-10-005867	confirm
3995	99-71-28-005271_99-69-10-005874	99-71-28-005271	99-69-10-005874	confirm
3996	99-71-28-005334_99-69-28-005156	99-71-28-005334	99-69-28-005156	confirm
3997	99-71-28-005369_99-67-10-005174	99-71-28-005369	99-67-10-005174	confirm
3998	99-71-28-005555_99-69-28-008535	99-71-28-005555	99-69-28-008535	confirm
3999	99-71-28-005594_99-69-28-005415	99-71-28-005594	99-69-28-005415	confirm
4000	99-71-28-005629_99-69-28-005450	99-71-28-005629	99-69-28-005450	confirm
4001	99-71-28-005633_99-69-28-005454	99-71-28-005633	99-69-28-005454	confirm
4002	99-71-28-005742_99-67-10-007231	99-71-28-005742	99-67-10-007231	confirm
4003	99-71-28-005858_99-69-10-005688	99-71-28-005858	99-69-10-005688	confirm
4004	99-71-28-006134_99-69-28-005901	99-71-28-006134	99-69-28-005901	confirm
4005	99-71-28-006174_99-67-10-007480	99-71-28-006174	99-67-10-007480	confirm
4006	99-71-28-006186_99-69-28-005931	99-71-28-006186	99-69-28-005931	confirm
4007	99-71-28-006316_99-69-01-000916	99-71-28-006316	99-69-01-000916	confirm
4008	99-71-28-006334_99-69-28-006079	99-71-28-006334	99-69-28-006079	confirm
4009	99-71-28-006336_99-69-28-006081	99-71-28-006336	99-69-28-006081	confirm
4010	99-71-28-006392_99-69-28-006140	99-71-28-006392	99-69-28-006140	confirm
4011	99-71-28-006396_99-69-28-006144	99-71-28-006396	99-69-28-006144	confirm
